run_id,runner_name,timestamp,dataset,dataset_original_name,experiment_axis,scale_group,model,task_type,total_rows,train_rows,val_rows,fit_rows,test_rows,n_features,n_num_features,n_cat_features,n_classes,encoding,device,model_path,random_seed,accuracy,balanced_accuracy,macro_f1,probabilities_available,mean_confidence,correct_mean_confidence,wrong_mean_confidence,confidence_gap,fit_time_seconds,predict_time_seconds,wall_time_seconds,seconds_per_test_sample,peak_memory_mb,training_throughput,success,error_type,error_message,runner_dir,runner_name_from_dir,device_type,metrics_path,run_dir,success_bool
run_20260616_131132,吴兆临,2026-06-16T13:11:32,default_of_credit_card_clients_30000rows_23feat_binclass,default_of_credit_card_clients_30000rows_23feat_binclass,sample_scale,C_10000_30000,lightgbm,binclass,30000,19200,4800,24000,6000,23,14,9,2,talent_numeric_plus_ordinal_categorical,cpu,,42,0.8245,0.6661019523885471,0.6922778844674413,True,0.8273665187672101,0.8440361100163896,0.7490526840951384,0.0949834259212512,0.2641241000001173,0.030894100000296,0.4195650999990903,5.149016666716003e-06,164.59765625,2089926.667046872,True,,,吴兆临_light_laptop,吴兆临,light_laptop,D:\Codex项目\人工智能2大作业\results\raw\吴兆临_light_laptop\lightgbm\sample_scale\C_10000_30000\default_of_credit_card_clients_30000rows_23feat_binclass\run_20260616_131132\metrics.csv,D:\Codex项目\人工智能2大作业\results\raw\吴兆临_light_laptop\lightgbm\sample_scale\C_10000_30000\default_of_credit_card_clients_30000rows_23feat_binclass\run_20260616_131132,True
run_20260616_134748,吴兆临,2026-06-16T13:47:48,jm1_10885rows_21feat_binclass,jm1,sample_scale,C_10000_30000,lightgbm,binclass,10885,6966,1742,8708,2177,21,21,0,2,talent_numeric_plus_ordinal_categorical,cpu,,42,0.8130454754248967,0.5915686428343406,0.6071743825128472,True,0.8345258062793538,0.8508585327884401,0.7634965042619514,0.0873620285264887,0.5095521999974153,0.0298183999984757,0.6375422999990406,1.3697014239079374e-05,153.23046875,358879.8164367215,True,,,吴兆临_light_laptop,吴兆临,light_laptop,D:\Codex项目\人工智能2大作业\results\raw\吴兆临_light_laptop\lightgbm\sample_scale\C_10000_30000\jm1_10885rows_21feat_binclass\run_20260616_134748\metrics.csv,D:\Codex项目\人工智能2大作业\results\raw\吴兆临_light_laptop\lightgbm\sample_scale\C_10000_30000\jm1_10885rows_21feat_binclass\run_20260616_134748,True
run_20260615_211651,吴兆临,2026-06-15T21:16:51,mfeat-morphological_2000rows_6feat_multiclass,mfeat-morphological,feature_scale,F1_6_20,tabicl,multiclass,2000,1280,320,1600,400,6,6,0,10,talent_numeric_plus_ordinal_categorical,cpu,D:\Codex项目\人工智能2大作业\.local_models\tabicl\tabicl-classifier-v2-20260212.ckpt,42,0.775,0.775,0.7680489426622548,True,0.782357820123434,0.834780119311425,0.6017921229203542,0.2329879963910708,0.3913005000000567,8.585641900000041,20.80061569999998,0.0214641047500001,1164.5390625,24533.574580146484,True,,,吴兆临_light_laptop,吴兆临,light_laptop,D:\Codex项目\人工智能2大作业\results\raw\吴兆临_light_laptop\tabicl\feature_scale\F1_6_20\mfeat-morphological_2000rows_6feat_multiclass\run_20260615_211651\metrics.csv,D:\Codex项目\人工智能2大作业\results\raw\吴兆临_light_laptop\tabicl\feature_scale\F1_6_20\mfeat-morphological_2000rows_6feat_multiclass\run_20260615_211651,True
run_20260615_211843,吴兆临,2026-06-15T21:18:43,mfeat-fourier_2000rows_76feat_multiclass,mfeat-fourier,feature_scale,F2_20_100,tabicl,multiclass,2000,1280,320,1600,400,76,76,0,10,talent_numeric_plus_ordinal_categorical,cpu,D:\Codex项目\人工智能2大作业\.local_models\tabicl\tabicl-classifier-v2-20260212.ckpt,42,0.9225,0.9225,0.9222297786874092,True,0.9158495143055916,0.9384591584283162,0.6467218149092889,0.2917373435190272,0.6944019000000026,20.563982500000066,43.23478179999995,0.0514099562500001,5505.3515625,175114.72822870954,True,,,吴兆临_light_laptop,吴兆临,light_laptop,D:\Codex项目\人工智能2大作业\results\raw\吴兆临_light_laptop\tabicl\feature_scale\F2_20_100\mfeat-fourier_2000rows_76feat_multiclass\run_20260615_211843\metrics.csv,D:\Codex项目\人工智能2大作业\results\raw\吴兆临_light_laptop\tabicl\feature_scale\F2_20_100\mfeat-fourier_2000rows_76feat_multiclass\run_20260615_211843,True
run_20260615_212444,吴兆临,2026-06-15T21:24:44,mfeat-karhunen_2000rows_64feat_multiclass,mfeat-karhunen,feature_scale,F2_20_100,tabicl,multiclass,2000,1280,320,1600,400,64,64,0,10,talent_numeric_plus_ordinal_categorical,cpu,D:\Codex项目\人工智能2大作业\.local_models\tabicl\tabicl-classifier-v2-20260212.ckpt,42,0.975,0.975,0.975015727207024,True,0.9866094858199358,0.9945728979049584,0.6760364145040512,0.3185364834009073,0.5927272000001267,18.522519599999896,38.5946113,0.0463062989999997,4671.26171875,172760.75739392103,True,,,吴兆临_light_laptop,吴兆临,light_laptop,D:\Codex项目\人工智能2大作业\results\raw\吴兆临_light_laptop\tabicl\feature_scale\F2_20_100\mfeat-karhunen_2000rows_64feat_multiclass\run_20260615_212444\metrics.csv,D:\Codex项目\人工智能2大作业\results\raw\吴兆临_light_laptop\tabicl\feature_scale\F2_20_100\mfeat-karhunen_2000rows_64feat_multiclass\run_20260615_212444,True
run_20260615_212956,吴兆临,2026-06-15T21:29:56,mfeat-zernike_2000rows_47feat_multiclass,mfeat-zernike,feature_scale,F2_20_100,tabicl,multiclass,2000,1280,320,1600,400,47,47,0,10,talent_numeric_plus_ordinal_categorical,cpu,D:\Codex项目\人工智能2大作业\.local_models\tabicl\tabicl-classifier-v2-20260212.ckpt,42,0.8925,0.8925000000000001,0.8913521741273422,True,0.8809297744184732,0.9220417642793736,0.5396046492942544,0.3824371149851191,0.5712807999998404,15.636175900000126,32.766751299999896,0.0390904397500003,3583.88671875,131634.04056292636,True,,,吴兆临_light_laptop,吴兆临,light_laptop,D:\Codex项目\人工智能2大作业\results\raw\吴兆临_light_laptop\tabicl\feature_scale\F2_20_100\mfeat-zernike_2000rows_47feat_multiclass\run_20260615_212956\metrics.csv,D:\Codex项目\人工智能2大作业\results\raw\吴兆临_light_laptop\tabicl\feature_scale\F2_20_100\mfeat-zernike_2000rows_47feat_multiclass\run_20260615_212956,True
run_20260615_213352,吴兆临,2026-06-15T21:33:52,mfeat-factors_2000rows_216feat_multiclass,mfeat-factors,feature_scale,F3_100_300,tabicl,multiclass,2000,1280,320,1600,400,216,216,0,10,talent_numeric_plus_ordinal_categorical,cpu,D:\Codex项目\人工智能2大作业\.local_models\tabicl\tabicl-classifier-v2-20260212.ckpt,42,0.9825,0.9825,0.9824984372558212,True,0.9924362693727016,0.9949570272411704,0.8509137204715184,0.1440433067696521,1.354704399999946,143.8326715999999,280.6946938999997,0.3595816789999997,12378.3203125,255111.00428994972,True,,,吴兆临_light_laptop,吴兆临,light_laptop,D:\Codex项目\人工智能2大作业\results\raw\吴兆临_light_laptop\tabicl\feature_scale\F3_100_300\mfeat-factors_2000rows_216feat_multiclass\run_20260615_213352\metrics.csv,D:\Codex项目\人工智能2大作业\results\raw\吴兆临_light_laptop\tabicl\feature_scale\F3_100_300\mfeat-factors_2000rows_216feat_multiclass\run_20260615_213352,True
run_20260615_215405,吴兆临,2026-06-15T21:54:05,mfeat-pixel_2000rows_240feat_multiclass,mfeat-pixel,feature_scale,F3_100_300,tabicl,multiclass,2000,1280,320,1600,400,240,0,240,10,talent_numeric_plus_ordinal_categorical,cpu,D:\Codex项目\人工智能2大作业\.local_models\tabicl\tabicl-classifier-v2-20260212.ckpt,42,0.975,0.975,0.97494801061037,True,0.988167512267828,0.9948017643812376,0.7294316798448562,0.2653700845363813,1.7260589000002255,186.401167,368.9731689999999,0.4660029174999999,12458.09765625,222472.1300066584,True,,,吴兆临_light_laptop,吴兆临,light_laptop,D:\Codex项目\人工智能2大作业\results\raw\吴兆临_light_laptop\tabicl\feature_scale\F3_100_300\mfeat-pixel_2000rows_240feat_multiclass\run_20260615_215405\metrics.csv,D:\Codex项目\人工智能2大作业\results\raw\吴兆临_light_laptop\tabicl\feature_scale\F3_100_300\mfeat-pixel_2000rows_240feat_multiclass\run_20260615_215405,True
run_20260615_221949,吴兆临,2026-06-15T22:19:49,kc1_2109rows_21feat_binclass,kc1,sample_scale,A_1000_3000,tabicl,binclass,2109,1349,338,1687,422,21,21,0,2,talent_numeric_plus_ordinal_categorical,cpu,D:\Codex项目\人工智能2大作业\.local_models\tabicl\tabicl-classifier-v2-20260212.ckpt,42,0.8767772511848341,0.6692092221503987,0.7050537634408602,True,0.883091895783682,0.905985766327059,0.7201932015327307,0.1857925647943282,1.0855636999995113,21.15180859999964,45.79161629999999,0.0501227691943119,2318.41015625,32634.6579201349,True,,,吴兆临_light_laptop,吴兆临,light_laptop,D:\Codex项目\人工智能2大作业\results\raw\吴兆临_light_laptop\tabicl\sample_scale\A_1000_3000\kc1_2109rows_21feat_binclass\run_20260615_221949\metrics.csv,D:\Codex项目\人工智能2大作业\results\raw\吴兆临_light_laptop\tabicl\sample_scale\A_1000_3000\kc1_2109rows_21feat_binclass\run_20260615_221949,True
run_20260615_222411,吴兆临,2026-06-15T22:24:11,pc1_1109rows_21feat_binclass,pc1,sample_scale,A_1000_3000,tabicl,binclass,1109,709,178,887,222,21,21,0,2,talent_numeric_plus_ordinal_categorical,cpu,D:\Codex项目\人工智能2大作业\.local_models\tabicl\tabicl-classifier-v2-20260212.ckpt,42,0.945945945945946,0.6618357487922705,0.7130547177940543,True,0.9484370885131596,0.959118032739276,0.7615205645561218,0.1975974681831541,0.4165981000005558,4.569094099999347,10.914076999999452,0.020581504954952,1333.48828125,44712.15783263329,True,,,吴兆临_light_laptop,吴兆临,light_laptop,D:\Codex项目\人工智能2大作业\results\raw\吴兆临_light_laptop\tabicl\sample_scale\A_1000_3000\pc1_1109rows_21feat_binclass\run_20260615_222411\metrics.csv,D:\Codex项目\人工智能2大作业\results\raw\吴兆临_light_laptop\tabicl\sample_scale\A_1000_3000\pc1_1109rows_21feat_binclass\run_20260615_222411,True
run_20260615_222514,吴兆临,2026-06-15T22:25:14,ringnorm_7400rows_20feat_binclass,ringnorm,sample_scale,B_3000_10000,tabicl,binclass,7400,4736,1184,5920,1480,20,20,0,2,talent_numeric_plus_ordinal_categorical,cpu,D:\Codex项目\人工智能2大作业\.local_models\tabicl\tabicl-classifier-v2-20260212.ckpt,42,0.9797297297297296,0.979651210572166,0.979723471999211,True,0.9819156711971436,0.9857414329051972,0.797003855307897,0.1887375775973001,0.477540300000328,62.34819609999977,152.75088380000034,0.0421271595270268,6212.578125,247937.18980349653,True,,,吴兆临_light_laptop,吴兆临,light_laptop,D:\Codex项目\人工智能2大作业\results\raw\吴兆临_light_laptop\tabicl\sample_scale\B_3000_10000\ringnorm_7400rows_20feat_binclass\run_20260615_222514\metrics.csv,D:\Codex项目\人工智能2大作业\results\raw\吴兆临_light_laptop\tabicl\sample_scale\B_3000_10000\ringnorm_7400rows_20feat_binclass\run_20260615_222514,True
run_20260615_225118,吴兆临,2026-06-15T22:51:18,sylvine_5124rows_20feat_binclass,sylvine,sample_scale,B_3000_10000,tabicl,binclass,5124,3279,820,4099,1025,20,20,0,2,talent_numeric_plus_ordinal_categorical,cpu,D:\Codex项目\人工智能2大作业\.local_models\tabicl\tabicl-classifier-v2-20260212.ckpt,42,0.9795121951219512,0.9795150310672516,0.9795121171193036,True,0.9791481865906134,0.984005095593008,0.7469416799999419,0.2370634155930659,0.4756009999991875,66.86942670000008,135.43244959999993,0.0652384650731708,4355.70703125,172371.37852977612,True,,,吴兆临_light_laptop,吴兆临,light_laptop,D:\Codex项目\人工智能2大作业\results\raw\吴兆临_light_laptop\tabicl\sample_scale\B_3000_10000\sylvine_5124rows_20feat_binclass\run_20260615_225118\metrics.csv,D:\Codex项目\人工智能2大作业\results\raw\吴兆临_light_laptop\tabicl\sample_scale\B_3000_10000\sylvine_5124rows_20feat_binclass\run_20260615_225118,True
run_20260616_092050,吴兆临,2026-06-16T09:20:50,default_of_credit_card_clients_30000rows_23feat_binclass,default_of_credit_card_clients_30000rows_23feat_binclass,sample_scale,C_10000_30000,tabicl,binclass,30000,19200,4800,24000,6000,23,14,9,2,talent_numeric_plus_ordinal_categorical,cpu,D:\Codex项目\人工智能2大作业\.local_models\tabicl\tabicl-classifier-v2-20260212.ckpt,42,0.827,0.6685162933951249,0.6956106349773291,True,0.8379436316986879,0.8551297942653197,0.7557878141113789,0.0993419801539408,1.0916971999999987,1213.9434792000002,2264.9380764,0.2023239132,12239.73828125,505634.7126291069,True,,,吴兆临_light_laptop,吴兆临,light_laptop,D:\Codex项目\人工智能2大作业\results\raw\吴兆临_light_laptop\tabicl\sample_scale\C_10000_30000\default_of_credit_card_clients_30000rows_23feat_binclass\run_20260616_092050\metrics.csv,D:\Codex项目\人工智能2大作业\results\raw\吴兆临_light_laptop\tabicl\sample_scale\C_10000_30000\default_of_credit_card_clients_30000rows_23feat_binclass\run_20260616_092050,True
run_20260616_131145,吴兆临,2026-06-16T13:11:45,jm1_10885rows_21feat_binclass,jm1,sample_scale,C_10000_30000,tabicl,binclass,10885,6966,1742,8708,2177,21,21,0,2,talent_numeric_plus_ordinal_categorical,cpu,D:\Codex项目\人工智能2大作业\.local_models\tabicl\tabicl-classifier-v2-20260212.ckpt,42,0.8259072117593018,0.6004442183974592,0.6202892414602437,True,0.8423219512075145,0.8606759533534724,0.7552494027683792,0.1054265505850932,0.6747799000004306,123.67863099999886,249.7142066999986,0.0568114979329347,9877.578125,271003.92290861555,True,,,吴兆临_light_laptop,吴兆临,light_laptop,D:\Codex项目\人工智能2大作业\results\raw\吴兆临_light_laptop\tabicl\sample_scale\C_10000_30000\jm1_10885rows_21feat_binclass\run_20260616_131145\metrics.csv,D:\Codex项目\人工智能2大作业\results\raw\吴兆临_light_laptop\tabicl\sample_scale\C_10000_30000\jm1_10885rows_21feat_binclass\run_20260616_131145,True
run_20260615_211728,吴兆临,2026-06-15T21:17:28,mfeat-morphological_2000rows_6feat_multiclass,mfeat-morphological,feature_scale,F1_6_20,tabpfn,multiclass,2000,1280,320,1600,400,6,6,0,10,talent_numeric_plus_ordinal_categorical,cpu,D:\Codex项目\人工智能2大作业\.local_models\tabpfn\tabpfn-v2-classifier-finetuned-zk73skhh.ckpt,42,0.775,0.775,0.7687797147562592,True,0.7782744949311018,0.8292509016490752,0.602689094013638,0.2265618076354372,0.2921065000000453,14.781848099999934,39.665949299999966,0.0369546202499998,738.8359375,32864.72570791307,True,,,吴兆临_light_laptop,吴兆临,light_laptop,D:\Codex项目\人工智能2大作业\results\raw\吴兆临_light_laptop\tabpfn\feature_scale\F1_6_20\mfeat-morphological_2000rows_6feat_multiclass\run_20260615_211728\metrics.csv,D:\Codex项目\人工智能2大作业\results\raw\吴兆临_light_laptop\tabpfn\feature_scale\F1_6_20\mfeat-morphological_2000rows_6feat_multiclass\run_20260615_211728,True
run_20260615_211928,吴兆临,2026-06-15T21:19:28,mfeat-fourier_2000rows_76feat_multiclass,mfeat-fourier,feature_scale,F2_20_100,tabpfn,multiclass,2000,1280,320,1600,400,76,76,0,10,talent_numeric_plus_ordinal_categorical,cpu,D:\Codex项目\人工智能2大作业\.local_models\tabpfn\tabpfn-v2-classifier-finetuned-zk73skhh.ckpt,42,0.9175,0.9175,0.9168920510383926,True,0.8851524672657252,0.911285573276577,0.5945206519329187,0.3167649213436583,0.4556025000000545,150.4539125,305.53403289999994,0.37613478125,3103.125,266899.3256182427,True,,,吴兆临_light_laptop,吴兆临,light_laptop,D:\Codex项目\人工智能2大作业\results\raw\吴兆临_light_laptop\tabpfn\feature_scale\F2_20_100\mfeat-fourier_2000rows_76feat_multiclass\run_20260615_211928\metrics.csv,D:\Codex项目\人工智能2大作业\results\raw\吴兆临_light_laptop\tabpfn\feature_scale\F2_20_100\mfeat-fourier_2000rows_76feat_multiclass\run_20260615_211928,True
run_20260615_212525,吴兆临,2026-06-15T21:25:25,mfeat-karhunen_2000rows_64feat_multiclass,mfeat-karhunen,feature_scale,F2_20_100,tabpfn,multiclass,2000,1280,320,1600,400,64,64,0,10,talent_numeric_plus_ordinal_categorical,cpu,D:\Codex项目\人工智能2大作业\.local_models\tabpfn\tabpfn-v2-classifier-finetuned-zk73skhh.ckpt,42,0.97,0.97,0.969904942969824,True,0.969724178686738,0.9808998309920745,0.608378087480863,0.3725217435112113,0.3647610000000441,132.0280287999999,262.4034065000001,0.3300700719999997,2608.50390625,280731.76682810835,True,,,吴兆临_light_laptop,吴兆临,light_laptop,D:\Codex项目\人工智能2大作业\results\raw\吴兆临_light_laptop\tabpfn\feature_scale\F2_20_100\mfeat-karhunen_2000rows_64feat_multiclass\run_20260615_212525\metrics.csv,D:\Codex项目\人工智能2大作业\results\raw\吴兆临_light_laptop\tabpfn\feature_scale\F2_20_100\mfeat-karhunen_2000rows_64feat_multiclass\run_20260615_212525,True
run_20260615_213031,吴兆临,2026-06-15T21:30:31,mfeat-zernike_2000rows_47feat_multiclass,mfeat-zernike,feature_scale,F2_20_100,tabpfn,multiclass,2000,1280,320,1600,400,47,47,0,10,talent_numeric_plus_ordinal_categorical,cpu,D:\Codex项目\人工智能2大作业\.local_models\tabpfn\tabpfn-v2-classifier-finetuned-zk73skhh.ckpt,42,0.835,0.835,0.8312170725746364,True,0.8712628599256277,0.933793200347238,0.5548214402162668,0.3789717601309712,0.2944091000001663,93.13670379999984,191.35180450000007,0.2328417594999996,2147.5703125,255426.88728017415,True,,,吴兆临_light_laptop,吴兆临,light_laptop,D:\Codex项目\人工智能2大作业\results\raw\吴兆临_light_laptop\tabpfn\feature_scale\F2_20_100\mfeat-zernike_2000rows_47feat_multiclass\run_20260615_213031\metrics.csv,D:\Codex项目\人工智能2大作业\results\raw\吴兆临_light_laptop\tabpfn\feature_scale\F2_20_100\mfeat-zernike_2000rows_47feat_multiclass\run_20260615_213031,True
